83810,14592,3278
97196,36048,32098
29256,18289,96530
13434,88696,97080
71482,11395,77397
55302,4165,3905
12280,28657,30495
66237,78907,3478
73563,26062,93850
85181,91924,71426
54987,28893,58878
77236,36463,851
99458,20926,91506
55392,44597,36421
20379,28221,44118
13396,12156,49797
12676,47052,45082
79131,34671,5695
95647,60217,70284
16361,49615,10328
72357,38427,82397
81070,47400,75674
25203,92349,9116
6006,86673,29871
37930,10458,30512
13238,49823,36434
59429,83320,47819
21319,48520,46566
27460,87841,34993
91988,89593,84939
9358,79840,83227
22431,70010,95568
32087,21417,60589
49735,35382,83886
90198,73000,28785
89733,42504,7331
30021,4207,41347
52581,35093,8675
27653,74341,94098
41245,27869,85909
65435,51856,84259
60142,18726,34718
18301,32325,97647
73579,70644,34438
97912,76622,56155
76484,52350,47447
28746,18131,66784
64686,11915,99061
6175,14371,20033
82240,20969,89192
55333,78172,8326
50432,50019,78104
61348,69352,32953
72512,1504,89166
94466,15014,89353
70381,98419,34973
84012,44587,14621
38469,56985,20730
59470,425,94646
94329,34522,65612
99871,23416,66542
13947,81959,39117
83748,66540,79818
26071,20032,49009
99943,21174,70697
69514,74,78504
42487,64042,2552
14662,47576,40306
31385,7592,31571
74364,10322,11226
95932,63699,9071
99693,69822,16483
16828,86474,62296
72063,21643,34741
69163,79507,55461
27760,70686,98994
95673,90422,26365
93447,40857,52296
88039,85180,48944
57422,67839,59177
15860,32493,29451
8392,44313,2757
77110,72603,30161
77128,28864,942
9305,92778,82719
7716,30007,8834
4117,43309,9287
67391,31195,36500
87684,63624,28080
70678,17342,94811
74847,75525,61953
31850,61993,53354
24957,12363,12704
86374,56498,46438
55519,53883,61213
95561,7100,88259
85649,84696,12899
7944,52772,95448
44473,14322,32591
25112,24931,70292
58800,18373,55296
24050,36509,60637
32742,9880,58082
72132,12833,6630
85477,70855,1934
12224,98771,30982
21798,53269,63653
63092,28016,52565
7685,21579,49672
282,51173,34760
59638,37388,55444
91303,95748,72845
86752,94163,63788
20289,24890,38890
28534,7665,75914
96434,71066,7989
98038,41104,7492
6572,76569,62493
65909,69615,20635
7455,66562,10500
24356,8981,77992
8907,88501,30828
52923,15713,74668
32271,75880,77924
5209,81183,10745
54948,86163,76503
74085,68522,41467
34179,26772,87782
93872,41180,31285
34814,51876,17154
88039,84607,39321
59929,41441,98548
9508,1220,60068
81416,73792,13104
9602,70468,27938
66307,34760,17361
45745,9016,32018
48434,37353,20676
57433,71200,92214
39651,80173,85717
69329,1025,87538
72692,39240,86951
13577,17601,34664
15129,14029,97310
72512,20374,35697
36930,79276,27607
94058,44942,26685
90111,83130,34600
66244,64032,32914
6658,12097,83136
55518,36265,5778
464,43719,17146
83507,34335,21178
97154,57912,72309
92493,56057,73519
1267,14663,9862
90573,19536,71511
4722,48393,76350
72420,19410,56333
16704,5482,40404
47795,5229,46898
27535,89399,32706
87416,13473,46357
73385,53264,81351
98235,20257,31029
21299,23206,54040
3248,23509,96542
43540,53964,87806
96345,32527,34970
20866,91917,14168
50140,5075,61694
29154,26158,60332
45830,40001,29831
29219,3101,86511
25313,52227,43025
36517,9099,36585
46025,84080,66768
52386,89065,70282
43404,3617,15118
34237,23405,76099
34795,5014,14208
78193,56959,45309
95491,41114,57199
79457,67033,15157
50488,75574,24914
33386,5817,92901
57154,221,68146
70575,90027,94297
97248,96605,87900
25825,47739,56531
9171,87062,43279
81678,41145,86951
16334,94339,39363
66469,40538,87410
53528,42753,52743
91384,38752,72667
16683,25144,55108
87153,49695,88777
98059,22810,80676
74593,39446,53225
71819,53,39829
37606,27549,56346
76019,79516,85813
42237,60946,57905
57954,88555,28010
67000,62021,96463
22241,86356,11114
37196,67561,87012
82960,81167,43933
12240,98453,30784
88184,40687,29444
26100,19313,3201
6057,32092,62277
80120,9545,59692
54321,82544,75454
25485,94155,91272
50328,64799,52383
31979,19342,85990
90128,726,98430
13970,55724,28683
23053,91214,67889
60889,6582,73060
32662,15906,59829
17477,60901,87500
69616,73259,78047
41588,98992,58008
80301,94276,66162
55933,71810,58446
20861,97472,62216
58991,33972,98536
32406,83579,36347
68327,63517,82149
31358,35992,57654
10155,93525,37450
30735,35614,44020
41904,70798,10561
18136,19769,30311
50205,90957,20028
92591,28043,8418
54377,53424,43369
71121,61069,54496
8161,27110,55069
51049,76556,91163
2560,75456,49857
62518,772,46105
39139,98759,51116
54921,70545,97978
96289,71582,79069
28906,63993,28760
35774,57125,63654
3804,50968,44057
87670,89016,52994
94919,21632,61261
16728,81560,70008
3534,51645,77580
73975,86900,3552
11003,84246,56179
17786,60515,23819
6590,34099,49689
42906,27742,59598
42840,44236,99775
49692,36471,98567
55255,33065,10735
61644,2540,98176
70702,6826,45870
29389,85215,8993
85426,5276,98858
4067,32411,26130
2671,81439,19973
31266,16544,62070
87747,14993,73920
28569,60952,91680
33586,48351,21992
79415,79593,98032
94156,15012,21465
40768,14168,75849
3365,40888,75470
88781,49192,51990
93718,25995,9961
77607,90520,82213
31830,13356,91382
39529,89687,78697
15866,74177,5383
45508,69827,56148
86706,48571,9038
66317,84874,44725
1658,55057,64251
13833,56822,47472
83307,60258,92708
20052,57080,23086
96180,68386,85256
35400,80728,70539
63372,60931,57091
95817,77656,35179
42245,32177,11359
36559,59087,31963
98366,60910,74691
79997,87580,49674
44092,3761,64789
42600,23834,63904
27802,46507,33862
44608,36655,78139
91905,36211,72848
1330,67715,25042
11221,31635,94381
53271,64038,72768
99374,31499,90519
62402,84659,93302
64332,58743,2260
12196,38566,29045
53005,90673,31890
40135,87026,76225
48368,62031,72544
69588,45056,55771
97771,72140,43357
46112,92124,59473
35509,40189,32951
30217,15814,94540
25242,41359,15670
97370,70236,99901
90461,24267,25105
28361,96810,63464
36241,94972,77278
99641,68765,78222
37093,13176,25443
38829,29816,47301
23519,39618,1854
92801,70010,16591
35954,5965,7146
72529,38290,91411
16551,83606,98669
64340,13446,1607
75243,37268,61524
62746,57733,44657
24164,6734,33092
62616,14953,8564
52521,64454,9710
75631,82502,89974
7026,19887,19555
73772,39824,11164
32530,15525,73147
54548,79471,78135
81057,29581,68494
49856,59049,58028
38974,77139,56207
40026,74531,81399
7894,79905,97004
13006,99973,27235
81987,27659,34687
86563,10641,20585
31439,22782,72350
9838,20517,350
53545,59048,90357
77832,61592,38175
4278,30340,37762
92662,37056,92141
59510,9329,90096
30595,34675,81927
77304,86662,25928
55723,15043,71376
29466,84886,19528
34816,18643,9359
7816,21747,40319
77993,98167,74607
37828,57560,16299
61433,90266,39857
91715,52757,35683
65597,70776,64722
57377,10543,78385
5224,56626,96276
42247,79129,32816
3390,11970,30005
88381,75392,76955
2719,88117,35325
75529,5273,99125
22962,61669,68021
85394,57963,36458
23788,76720,57132
83202,64451,11959
61605,45607,53523
43687,42081,87835
13710,21079,43228
53955,90921,64942
37777,86846,52488
99680,72102,4809
59614,11542,41224
33082,42372,15194
52976,67449,150
86200,71118,60552
54165,7104,24586
67952,47419,81609
99148,65338,81973
57939,99613,6764
26680,35003,71987
17172,37752,57424
91521,63532,15915
3783,82578,79806
31365,93032,20758
40730,72199,1792
72384,53476,12217
29451,14871,60482
15396,84896,20181
65323,93926,38254
66698,92459,35838
54459,63242,61894
31946,59871,72255
18958,50277,24983
78561,66616,97818
17892,9150,36208
54387,44548,66550
35018,336,37072
95164,39132,76931
76011,86499,64178
19476,58529,70592
63483,45236,43573
72340,99991,71228
49441,59682,42176
24727,91422,31300
74946,50196,30613
53841,5720,41704
97609,61993,92435
49968,50604,86991
85461,19936,64923
4852,16547,65836
77356,43515,13154
57711,13069,68937
59890,2011,94692
18894,53736,85823
20232,9807,61537
34737,44375,81691
90794,52098,85175
10527,43065,88389
69942,49808,41505
82155,94203,99536
63956,70912,4705
80931,8968,30771
82727,89705,37667
29817,97880,11846
56881,12903,99663
83066,92260,13173
58153,21805,90964
39251,3794,6028
42516,7355,38452
46984,49131,56450
19080,32007,69621
54008,74177,89364
23600,22280,22946
10350,79887,50140
81226,89539,31566
65230,76435,18758
30433,60443,83611
33289,60236,33466
87404,1231,60981
37700,88815,71643
20706,9681,57898
45293,77014,39210
83746,55615,90480
32780,59878,39599
26111,50422,63335
13979,31091,49986
74963,47049,75341
38780,91655,38696
2875,86275,51879
35976,1061,74177
89889,97605,6428
79482,97671,65107
37512,30162,79569
46179,28705,83442
24920,81381,32850
88835,99035,94493
86400,89241,17927
82345,12735,82242
84717,5167,40492
57779,4373,75965
47823,95991,17224
11813,38680,42823
97973,54460,23021
26318,17322,70701
47953,69579,65771
35720,21567,33681
63156,38684,97853
44396,15095,61385
9869,18449,98848
29571,88647,94924
88395,52089,73048
47942,11836,51717
1824,34663,70329
16199,59609,48311
88188,98174,88125
34362,76619,49941
83695,48689,14201
88452,30647,61797
3280,81205,73584
42992,79964,29015
84889,8285,83283
60852,91891,39608
85097,53516,15292
18320,5943,4877
39893,64569,15220
12739,30775,70457
17781,50940,59459
48629,87881,97404
91289,70804,54935
76983,97290,95236
20253,54379,85841
12978,64139,80694
53492,36666,4288
